,fold,type,true,predict
426,2,train,0.0,0.0
427,2,train,2.0,2.0
428,2,train,0.0,0.0
429,2,train,1.0,1.0
430,2,train,0.0,0.0
431,2,train,3.0,3.0
432,2,train,3.0,3.0
433,2,train,3.0,3.0
434,2,train,0.0,0.0
435,2,train,1.0,1.0
436,2,train,1.0,1.0
437,2,train,3.0,3.0
438,2,train,0.0,0.0
439,2,train,2.0,2.0
440,2,train,0.0,0.0
441,2,train,3.0,3.0
442,2,train,3.0,3.0
443,2,train,0.0,0.0
444,2,train,3.0,3.0
445,2,train,1.0,1.0
446,2,train,0.0,0.0
447,2,train,3.0,3.0
448,2,train,0.0,0.0
449,2,train,1.0,1.0
450,2,train,3.0,3.0
451,2,train,3.0,3.0
452,2,train,1.0,1.0
453,2,train,1.0,1.0
454,2,train,3.0,3.0
455,2,train,1.0,1.0
456,2,train,3.0,3.0
457,2,train,3.0,3.0
458,2,train,0.0,0.0
459,2,train,1.0,1.0
460,2,train,0.0,0.0
461,2,train,0.0,0.0
462,2,train,3.0,3.0
463,2,train,3.0,3.0
464,2,train,0.0,0.0
465,2,train,1.0,1.0
466,2,train,0.0,0.0
467,2,train,0.0,0.0
468,2,train,3.0,3.0
469,2,train,2.0,2.0
470,2,train,3.0,3.0
471,2,train,0.0,0.0
472,2,train,3.0,3.0
473,2,train,1.0,1.0
474,2,train,0.0,0.0
475,2,train,1.0,1.0
476,2,train,2.0,2.0
477,2,train,0.0,0.0
478,2,train,1.0,1.0
479,2,train,3.0,3.0
480,2,train,1.0,1.0
481,2,train,3.0,3.0
482,2,train,3.0,3.0
483,2,train,3.0,3.0
484,2,train,1.0,1.0
485,2,train,3.0,3.0
486,2,train,3.0,3.0
487,2,train,3.0,3.0
488,2,train,3.0,3.0
489,2,train,2.0,2.0
490,2,train,1.0,1.0
491,2,train,3.0,3.0
492,2,train,3.0,3.0
493,2,train,0.0,0.0
494,2,train,3.0,3.0
495,2,train,3.0,3.0
496,2,train,2.0,2.0
497,2,train,3.0,3.0
498,2,train,1.0,1.0
